"constituency_code","constituency_name","polling_station_code","polling_station_name","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","votes_cast","rejected_votes","valid_votes","mueke_share","malombe_share","musila_share","ngilu_share","rejection_rate","mueke_vs_malombe","mueke_vs_musila","winner","cluster"
"073","KITUI EAST","15073036413501","KILANGA PRIMARY SCHOOL",66,4,107,0,178,1,177,2.25988700564972,37.2881355932203,60.4519774011299,0,0.561797752808989,-62,-103,"Musila","3"
"073","KITUI EAST","15073036413601","YOONYE PRIMARY SCHOOL",41,11,290,1,345,2,343,3.2069970845481,11.9533527696793,84.5481049562682,0.291545189504373,0.579710144927536,-30,-279,"Musila","2"
"073","KITUI EAST","15073036413701","MUSUKINI PRIMARY SCHOOL",56,12,251,1,322,2,320,3.75,17.5,78.4375,0.3125,0.62111801242236,-44,-239,"Musila","2"
"073","KITUI EAST","15073036413801","UW'U PRIMARY SCHOOL",81,7,237,2,327,0,327,2.14067278287462,24.7706422018349,72.4770642201835,0.611620795107034,0,-74,-230,"Musila","2"
"073","KITUI EAST","15073036413901","KWA-TUNDU PRIMARY SCHOOL",40,4,98,1,143,0,143,2.7972027972028,27.972027972028,68.5314685314685,0.699300699300699,0,-36,-94,"Musila","3"
"073","KITUI EAST","15073036414001","KITAKANI PRIMARY SCHOOL",52,13,74,0,140,1,139,9.35251798561151,37.410071942446,53.2374100719424,0,0.714285714285714,-39,-61,"Musila","3"
"073","KITUI EAST","15073036414101","MASASINI PRIMARY SCHOOL",46,5,126,2,179,0,179,2.79329608938547,25.6983240223464,70.391061452514,1.11731843575419,0,-41,-121,"Musila","3"
"073","KITUI EAST","15073036414201","MANYOENI PRIMARY SCHOOL",126,9,216,0,356,5,351,2.56410256410256,35.8974358974359,61.5384615384615,0,1.40449438202247,-117,-207,"Musila","2"
"073","KITUI EAST","15073036414301","KAAYO PRIMARY SCHOOL",104,5,94,1,206,2,204,2.45098039215686,50.9803921568627,46.078431372549,0.490196078431373,0.970873786407767,-99,-89,"Malombe","3"
"073","KITUI EAST","15073036414401","KAKAME PRIMARY SCHOOL",54,3,98,1,157,1,156,1.92307692307692,34.6153846153846,62.8205128205128,0.641025641025641,0.636942675159236,-51,-95,"Musila","3"
"073","KITUI EAST","15073036414501","ITANGANI PRIMARY SCHOOL",93,6,107,0,207,1,206,2.9126213592233,45.1456310679612,51.9417475728155,0,0.483091787439614,-87,-101,"Musila","3"
"073","KITUI EAST","15073036414601","KAWALA PRIMARY SCHOOL",242,4,138,1,395,10,385,1.03896103896104,62.8571428571429,35.8441558441558,0.25974025974026,2.53164556962025,-238,-134,"Malombe","2"
"073","KITUI EAST","15073036414701","IMUATINE PRIMARY SCHOOL",128,5,63,2,199,1,198,2.52525252525253,64.6464646464647,31.8181818181818,1.01010101010101,0.50251256281407,-123,-58,"Malombe","3"
"073","KITUI EAST","15073036414801","KILIKU PRIMARY SCHOOL",83,17,167,1,271,3,268,6.34328358208955,30.9701492537313,62.3134328358209,0.373134328358209,1.1070110701107,-66,-150,"Musila","2"
"073","KITUI EAST","15073036414802","KILIKU PRIMARY SCHOOL",64,4,198,2,265,0,265,1.50943396226415,24.1509433962264,74.7169811320755,0.754716981132076,0,-60,-194,"Musila","2"
"073","KITUI EAST","15073036414901","KITIVO PRIMARY SCHOOL",39,3,76,1,119,0,119,2.52100840336134,32.7731092436975,63.8655462184874,0.840336134453782,0,-36,-73,"Musila","3"
"073","KITUI EAST","15073036415001","MATIA PRIMARY SCHOOL",74,19,124,2,220,1,219,8.67579908675799,33.7899543378995,56.62100456621,0.91324200913242,0.454545454545455,-55,-105,"Musila","2"
"073","KITUI EAST","15073036415101","YULAMBU PRIMARY SCHOOL",49,5,157,2,213,0,213,2.34741784037559,23.0046948356808,73.7089201877934,0.938967136150235,0,-44,-152,"Musila","3"
"073","KITUI EAST","15073036415201","KAVUTEI PRIMARY SCHOOL",41,6,77,1,127,2,125,4.8,32.8,61.6,0.8,1.5748031496063,-35,-71,"Musila","3"
"073","KITUI EAST","15073036415301","NDUUNI PRIMARY SCHOOL",24,0,50,0,74,0,74,0,32.4324324324324,67.5675675675676,0,0,-24,-50,"Musila","3"
"073","KITUI EAST","15073036415401","KYAIMU PRIMARY SCHOOL",47,0,47,0,94,0,94,0,50,50,0,0,-47,-47,"Malombe","3"
"073","KITUI EAST","15073036415501","MUTITO YOUTH POLYTECHNIC",72,5,93,0,171,1,170,2.94117647058824,42.3529411764706,54.7058823529412,0,0.584795321637427,-67,-88,"Musila","3"
