"constituency_name","polling_station_code","polling_station_name","votes_cast","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","winner"
"MWINGI NORTH","15067033205801","MIVUKONI PRI SCH",286,87,4,191,0,"Musila"
"MWINGI NORTH","15067033205901","NGOMANO PRI SCH",72,18,3,49,0,"Musila"
"MWINGI NORTH","15067033206001","KALAA PRI SCH",112,50,2,58,0,"Musila"
"MWINGI NORTH","15067033206101","KALOLE PRI SCH",174,43,3,124,0,"Musila"
"MWINGI NORTH","15067033206201","KAVURUKO NUR SCH",140,49,2,85,1,"Musila"
"MWINGI NORTH","15067033206301","MALATANI NUR SCH",117,31,1,84,1,"Musila"
"MWINGI NORTH","15067033206401","MIKWA PRI SCH",273,108,6,155,1,"Musila"
"MWINGI NORTH","15067033206501","NGUNGANI PRI SCHOOL",91,36,1,52,1,"Musila"
"MWINGI NORTH","15067033206601","KANDWIA PRI SCH",366,132,5,227,2,"Musila"
"MWINGI NORTH","15067033206701","KIMANGAO PRI SCH",398,168,8,220,0,"Musila"
"MWINGI NORTH","15067033206801","KIMU PRI SCH",347,154,13,176,3,"Musila"
"MWINGI NORTH","15067033206901","MBANGWANI PRI SCH",163,72,5,86,0,"Musila"
"MWINGI NORTH","15067033207001","NDATHANI PRI SCH",193,113,4,74,2,"Malombe"
"MWINGI NORTH","15067033207101","KISEUNI PRI SCH",91,53,0,38,0,"Malombe"
"MWINGI NORTH","15067033207201","KIVANGWA PRI SCH",160,80,3,70,4,"Malombe"
"MWINGI NORTH","15067033207301","MANDALA PRI SCH",173,87,4,77,2,"Malombe"
"MWINGI NORTH","15067033207401","KALIANI PRI SCH",179,80,4,93,2,"Musila"
"MWINGI NORTH","15067033207501","KWA KATILE PRI(MASEKI)",398,278,4,114,1,"Malombe"
"MWINGI NORTH","15067033207601","KAMWENGI NUR SCH",92,18,4,69,1,"Musila"
"MWINGI NORTH","15067033207701","KATUKA NUR SCH",97,47,0,48,1,"Musila"
"MWINGI NORTH","15067033207801","MATAKA PRI SCH",211,59,4,143,4,"Musila"
"MWINGI NORTH","15067033207901","ITULU PRI SCH",173,88,3,81,1,"Malombe"
"MWINGI NORTH","15067033208001","KAGHUI PRI SCH",242,127,4,110,1,"Malombe"
"MWINGI NORTH","15067033208101","KAITHANGO  PRI SCHOOL",101,55,0,44,1,"Malombe"
"MWINGI NORTH","15067033208201","KASYATHYU PRI SCH",157,88,3,57,6,"Malombe"
"MWINGI NORTH","15067033208301","KWAMUTISYA PRI SCH",43,13,0,28,1,"Musila"
"MWINGI NORTH","15067033208401","KYANGWITHYA PRI SCHOOL",99,70,1,28,0,"Malombe"
"MWINGI NORTH","15067033208501","MBUI PRI SCH",157,89,0,68,0,"Malombe"
"MWINGI NORTH","15067033208601","NGAAIE PRI SCH",303,144,4,152,1,"Musila"
"MWINGI NORTH","15067033208701","KAKOONGO PRI SCH",269,80,4,183,0,"Musila"
"MWINGI NORTH","15067033208801","KANDONGU PRI SCH",99,53,0,46,0,"Malombe"
"MWINGI NORTH","15067033208901","KILULU NUR SCH",84,26,1,57,0,"Musila"
"MWINGI NORTH","15067033209001","MANZOLO PRI SCH",154,37,0,117,0,"Musila"
"MWINGI NORTH","15067033209101","TWIMYUA PRI SCH",259,88,3,165,0,"Musila"
"MWINGI NORTH","15067033209201","WIKIMUU NUR SCH",100,20,1,77,1,"Musila"
"MWINGI NORTH","15067033309301","IKOONGO PRI SCH",167,64,5,93,2,"Musila"
"MWINGI NORTH","15067033309401","NGAANI PRI SCH",201,34,0,167,0,"Musila"
"MWINGI NORTH","15067033309501","THUA PRI SCH",203,69,1,133,0,"Musila"
"MWINGI NORTH","15067033309601","KALATINE PRI SCH",334,88,2,238,3,"Musila"
"MWINGI NORTH","15067033309701","KAUNDU PRI SCH",309,187,2,119,1,"Malombe"
"MWINGI NORTH","15067033309801","NGAKONE PRI SCH",107,33,2,72,0,"Musila"
"MWINGI NORTH","15067033309901","ITINDA PRI SCH",170,46,3,118,1,"Musila"
"MWINGI NORTH","15067033310001","KALIWA PRI SCH",268,123,0,141,0,"Musila"
"MWINGI NORTH","15067033310101","KAMATHITU PRI SCH",297,198,6,93,0,"Malombe"
"MWINGI NORTH","15067033310201","KANYOENI FEEDER SCHOOL.",82,47,1,33,0,"Malombe"
"MWINGI NORTH","15067033310301","SYOMUKII PRI SCH",100,75,1,24,0,"Malombe"
"MWINGI NORTH","15067033310401","KANDEKE NUR SCH",100,59,0,39,1,"Malombe"
"MWINGI NORTH","15067033310501","KATHIANI PRI SCH",241,127,1,112,0,"Malombe"
"MWINGI NORTH","15067033310601","KATHUMULANI PRI SCH",323,116,6,201,0,"Musila"
"MWINGI NORTH","15067033310701","NG'OMBENI PRI SCH",217,80,1,136,0,"Musila"
"MWINGI NORTH","15067033310801","NGUUKU PRI SCH",265,83,3,177,0,"Musila"
"MWINGI NORTH","15067033310901","KANYUNGU PRI SCH",78,20,3,53,1,"Musila"
"MWINGI NORTH","15067033311001","MPUKU PRI SCH",54,12,2,40,0,"Musila"
"MWINGI NORTH","15067033311101","MUVINGE PRI SCH",312,115,3,190,2,"Musila"
"MWINGI NORTH","15067033311201","SYUMBETI FEEDER SCHOOL.",99,57,2,38,1,"Malombe"
"MWINGI NORTH","15067033311301","KASYALANI PRI SCH",390,92,4,293,1,"Musila"
"MWINGI NORTH","15067033311401","NYAMA -NZEI PRI SCH",198,63,8,124,1,"Musila"
"MWINGI NORTH","15067033311501","KANZINWA PRI SCH",330,259,5,64,2,"Malombe"
"MWINGI NORTH","15067033311601","KATSE PRI SCH",387,288,3,91,0,"Malombe"
"MWINGI NORTH","15067033311701","KATSE SEC SCHOOL.",96,70,3,23,0,"Malombe"
"MWINGI NORTH","15067033311801","KATUKA PRI SCH",160,131,0,28,1,"Malombe"
"MWINGI NORTH","15067033311901","KIISI FEEDER",78,41,1,33,0,"Malombe"
"MWINGI NORTH","15067033312001","MBARANI PRI SCH",145,96,0,47,1,"Malombe"
"MWINGI NORTH","15067033312101","IRIRA MARKET",43,12,6,25,0,"Musila"
"MWINGI NORTH","15067033312201","KATAMA PRI SCH",110,23,1,85,0,"Musila"
"MWINGI NORTH","15067033312301","KITHIOKO MKT",93,14,1,78,0,"Musila"
"MWINGI NORTH","15067033312401","MUKINDU NUR SCH",196,60,3,132,1,"Musila"
"MWINGI NORTH","15067033312501","KASIONI PRI SCH",175,73,5,94,3,"Musila"
"MWINGI NORTH","15067033312601","MUSOSYA PRI SCH",177,137,1,34,2,"Malombe"
"MWINGI NORTH","15067033312701","MUTIUNI PRI SCH",139,39,0,100,0,"Musila"
"MWINGI NORTH","15067033312801","KAISINGA PRI SCH",153,44,0,106,3,"Musila"
"MWINGI NORTH","15067033312901","KWA KATHUKYA T.C",107,48,2,56,1,"Musila"
"MWINGI NORTH","15067033313001","KWA MUSILA PRI SCH",124,49,6,69,0,"Musila"
"MWINGI NORTH","15067033313101","MBANGWANI  TRC",92,48,2,41,0,"Malombe"
"MWINGI NORTH","15067033313201","ITHUNZI PRI.",154,46,6,98,1,"Musila"
"MWINGI NORTH","15067033313301","KAMBUSU PRI SCH",267,148,6,105,6,"Malombe"
"MWINGI NORTH","15067033313401","NGUNGANI NUR SCH",392,123,7,258,0,"Musila"
"MWINGI NORTH","15067033313501","TONDORA PRI SCH",148,39,0,108,1,"Musila"
"MWINGI NORTH","15067033313601","KALIANI FEEDER SCH",138,43,1,94,0,"Musila"
"MWINGI NORTH","15067033313701","KATUUNI PRI SCH",325,198,1,123,3,"Malombe"
"MWINGI NORTH","15067033313801","MASUKANIONI PRI SCH",256,107,5,142,2,"Musila"
