"constituency_name","polling_station_code","polling_station_name","votes_cast","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","winner"
"MWINGI WEST","15068033603401","KWA MBUTA MARKET",208,31,8,165,0,"Musila"
"MWINGI WEST","15068033603501","DAVID MUSILA (NDELEKENI) 
PRIMARY SCHOOL",73,13,2,58,0,"Musila"
"MWINGI WEST","15068033603601","UINI PRIMARY SCHOOL",177,28,1,148,0,"Musila"
"MWINGI WEST","15068033603701","THITANI PRIMARY SCHOOL",327,119,10,196,1,"Musila"
"MWINGI WEST","15068033603801","KASANGA PRIMARY SCHOOL",256,52,7,194,1,"Musila"
"MWINGI WEST","15068033603802","KASANGA PRIMARY SCHOOL",253,52,3,197,1,"Musila"
"MWINGI WEST","15068033603901","MUMBONI PRIMARY SCHOOL",166,54,3,107,0,"Musila"
"MWINGI WEST","15068033604001","KITULANI SECONDARY SCHOOL",159,41,5,113,0,"Musila"
"MWINGI WEST","15068033604101","KITULANI PRIMARY SCHOOL",281,111,6,162,0,"Musila"
"MWINGI WEST","15068033613901","KIVANI PRIMARY SCHOOL",53,24,0,28,1,"Musila"
"MWINGI WEST","15068033704201","MUTHITHINI PRIMARY SCHOOL",201,93,3,105,0,"Musila"
"MWINGI WEST","15068033704301","KEA PRIMARY SCHOOL",270,60,11,198,0,"Musila"
"MWINGI WEST","15068033704302","KEA PRIMARY SCHOOL",273,72,3,198,0,"Musila"
"MWINGI WEST","15068033704401","KASAVANI PRIMARY SCHOOL",158,37,2,119,0,"Musila"
"MWINGI WEST","15068033704501","KIVULU PRIMARY SCHOOL",140,21,1,116,0,"Musila"
"MWINGI WEST","15068033704601","KITHALANI PRIMARY SCHOOL",245,26,3,216,1,"Musila"
"MWINGI WEST","15068033704701","KIKIINI PRIMARY SCHOOL",361,75,2,283,0,"Musila"
"MWINGI WEST","15068033704801","KITHUNI PRIMARY SCHOOL",193,48,0,145,0,"Musila"
"MWINGI WEST","15068033704901","NZAUNI PRIMARY SCHOOL",308,87,5,214,0,"Musila"
"MWINGI WEST","15068033705001","KAIKUNGU PRIMARY SCHOOL",276,77,1,196,1,"Musila"
"MWINGI WEST","15068033705101","KAVILILO PRIMARY SCHOOL",244,139,2,101,1,"Malombe"
"MWINGI WEST","15068033705201","MAKENGEKANI PRIMARY SCHOOL",290,78,4,207,1,"Musila"
"MWINGI WEST","15068033705301","NGUUTANI PRIMARY SCHOOL",359,148,8,197,3,"Musila"
"MWINGI WEST","15068033705302","NGUUTANI PRIMARY SCHOOL",367,126,11,223,2,"Musila"
"MWINGI WEST","15068033705401","KAKULULO PRIMARY SCHOOL",346,57,8,279,0,"Musila"
"MWINGI WEST","15068033705402","KAKULULO PRIMARY SCHOOL",350,76,10,261,2,"Musila"
"MWINGI WEST","15068033705501","KATUYU PRIMARY SCHOOL",199,42,1,155,1,"Musila"
"MWINGI WEST","15068033705601","NZAWA PRIMARY SCHOOL",361,192,10,158,0,"Malombe"
"MWINGI WEST","15068033705602","NZAWA PRIMARY SCHOOL",330,161,5,164,0,"Musila"
"MWINGI WEST","15068033705701","MUTHIONI PRIMARY SCHOOL",312,63,4,244,1,"Musila"
"MWINGI WEST","15068033705801","THIMU PRIMARY SCHOOL",267,42,2,221,0,"Musila"
"MWINGI WEST","15068033705901","KATOTENI PRIMARY SCHOOL",286,44,3,234,1,"Musila"
"MWINGI WEST","15068033705902","KATOTENI PRIMARY SCHOOL",287,41,2,240,0,"Musila"
"MWINGI WEST","15068033706001","MAVUNI PRIMARY SCHOOL",224,45,4,175,0,"Musila"
"MWINGI WEST","15068033706101","SYONGONI PRIMARY SCHOOL",168,43,4,121,0,"Musila"
"MWINGI WEST","15068033706201","YITWA MBEMBA SHOPPING CENTRE",155,34,5,116,0,"Musila"
"MWINGI WEST","15068033706301","MUIMI PRIMARY SCHOOL",309,169,1,136,1,"Malombe"
"MWINGI WEST","15068033706302","MUIMI PRIMARY SCHOOL",317,147,7,158,2,"Musila"
"MWINGI WEST","15068033706401","MATHEANI PRIMARY SCHOOL",225,120,4,92,8,"Malombe"
"MWINGI WEST","15068033706501","NGONGONI PRIMARY SCHOOL",237,26,6,204,0,"Musila"
"MWINGI WEST","15068033706502","NGONGONI PRIMARY SCHOOL",248,34,8,206,0,"Musila"
"MWINGI WEST","15068033706601","KWA KISENGA PRIMARY SCHOOL",144,30,4,110,0,"Musila"
"MWINGI WEST","15068033706701","KIUMONI PRIMARY SCHOOL",152,15,1,136,0,"Musila"
"MWINGI WEST","15068033706801","KAVOLOI PRIMARY SCHOOL",299,40,3,254,0,"Musila"
"MWINGI WEST","15068033706901","MATHUNZINI PRIMARY SCHOOL",216,34,3,176,0,"Musila"
"MWINGI WEST","15068033706902","MATHUNZINI PRIMARY SCHOOL",211,25,4,182,0,"Musila"
"MWINGI WEST","15068033707001","MASONINI PRIMARY SCHOOL",196,23,3,168,0,"Musila"
"MWINGI WEST","15068033714101","KATHITA NZAU PRIMARY SCHOOL",149,34,2,111,0,"Musila"
"MWINGI WEST","15068033807101","ITUMBI PRIMARY SCHOOL",234,20,7,206,0,"Musila"
"MWINGI WEST","15068033807201","KALILUNI PRIMARY SCHOOL",354,42,3,305,1,"Musila"
"MWINGI WEST","15068033807301","ITHAMBWA NGAU SECONDARY SCHOOL",160,21,3,135,0,"Musila"
"MWINGI WEST","15068033807401","KYAMBOO PRIMARY SCHOOL",317,35,6,267,1,"Musila"
"MWINGI WEST","15068033807402","KYAMBOO PRIMARY SCHOOL",314,35,8,267,0,"Musila"
"MWINGI WEST","15068033807501","KALEMBWA PRIMARY SCHOOL",192,50,3,137,0,"Musila"
"MWINGI WEST","15068033807601","MIGWANI A.I.C PRIMARY SCHOOL",364,64,9,290,0,"Musila"
"MWINGI WEST","15068033807602","MIGWANI A.I.C PRIMARY SCHOOL",353,70,5,276,2,"Musila"
"MWINGI WEST","15068033807603","MIGWANI A.I.C PRIMARY SCHOOL",347,52,4,288,0,"Musila"
"MWINGI WEST","15068033807701","MIGWANI D.E.B PRIMARY SCHOOL",210,120,1,87,0,"Malombe"
"MWINGI WEST","15068033807801","ITOLONI PRIMARY SCHOOL",334,33,7,288,0,"Musila"
"MWINGI WEST","15068033807901","KAVALYANI PRIMARY SCHOOL",403,54,4,340,1,"Musila"
"MWINGI WEST","15068033808001","KAMUTISYA PRIMARY SCHOOL",283,15,3,262,0,"Musila"
"MWINGI WEST","15068033808002","KAMUTISYA PRIMARY SCHOOL",267,14,3,248,0,"Musila"
"MWINGI WEST","15068033808101","KANG'UUTHENI PRIMARY SCHOOL",198,37,4,154,0,"Musila"
"MWINGI WEST","15068033808201","NZATANI PRIMARY SCHOOL",373,26,8,336,1,"Musila"
"MWINGI WEST","15068033808301","KANYUUNI PRIMARY SCHOOL",224,22,0,199,1,"Musila"
"MWINGI WEST","15068033808401","KALUU PRIMARY SCHOOL",167,20,1,146,0,"Musila"
"MWINGI WEST","15068033808501","NGONI PRIMARY SCHOOL",90,8,5,76,0,"Musila"
"MWINGI WEST","15068033808601","ILALAMBYU PRIMARY SCHOOL",244,11,6,226,0,"Musila"
"MWINGI WEST","15068033808701","MUNG'ALU PRIMARY SCHOOL",232,14,2,211,0,"Musila"
"MWINGI WEST","15068033808801","KAMUTUNGU PRIMARY SCHOOL",166,9,3,154,0,"Musila"
"MWINGI WEST","15068033808901","NZELUNI PRIMARY SCHOOL",335,48,6,278,0,"Musila"
"MWINGI WEST","15068033809001","MUTHUNZUU PRIMARY SCHOOL",56,6,2,48,0,"Musila"
"MWINGI WEST","15068033809101","KWA KYELU PRIMARY SCHOOL",142,10,2,129,1,"Musila"
"MWINGI WEST","15068033809201","KILUNGU PRIMARY SCHOOL",205,14,3,188,0,"Musila"
"MWINGI WEST","15068033809301","KATALWA PRIMARY SCHOOL",200,16,3,181,0,"Musila"
"MWINGI WEST","15068033809401","MUTWAATHI PRIMARY SCHOOL",220,32,3,179,1,"Musila"
"MWINGI WEST","15068033809501","MUNYANGE PRIMARY SCHOOL",116,9,3,104,0,"Musila"
"MWINGI WEST","15068033809601","NZALAE PRIMARY SCHOOL",104,12,0,92,0,"Musila"
"MWINGI WEST","15068033809701","NGULUMA PRIMARY SCHOOL",31,18,2,9,1,"Malombe"
"MWINGI WEST","15068033809801","MUMBUNI PRIMARY SCHOOL",336,58,17,258,1,"Musila"
"MWINGI WEST","15068033809802","MUMBUNI PRIMARY SCHOOL",351,61,10,277,2,"Musila"
"MWINGI WEST","15068033809901","KISUNGULA PRIMARY SCHOOL",162,23,1,137,0,"Musila"
"MWINGI WEST","15068033810001","KISOVO PRIMARY SCHOOL",321,66,5,246,2,"Musila"
"MWINGI WEST","15068033810101","KILULU PRIMARY SCHOOL",179,19,2,158,0,"Musila"
"MWINGI WEST","15068033810201","MATHUMA PRIMARY SCHOOL",163,25,2,134,1,"Musila"
"MWINGI WEST","15068033810301","ITHENG'ELI PRIMARY SCHOOL",195,13,2,180,0,"Musila"
"MWINGI WEST","15068033810401","MUSOLA PRIMARY SCHOOL",106,11,2,90,0,"Musila"
"MWINGI WEST","15068033810501","KING'OINI PRIMARY SCHOOL",7,2,0,5,0,"Musila"
"MWINGI WEST","15068033810601","IKENA MWAKI NURSARY SCHOOL",112,21,3,87,1,"Musila"
"MWINGI WEST","15068033814201","MWANZENGE PRIMARY SCHOOL",81,9,1,71,0,"Musila"
"MWINGI WEST","15068033910701","KAIRUNGU PRIMARY SCHOOL",359,74,38,246,0,"Musila"
"MWINGI WEST","15068033910801","KAKONGO PRIMARY SCHOOL",241,86,5,144,0,"Musila"
"MWINGI WEST","15068033910802","KAKONGO PRIMARY SCHOOL",230,65,6,153,1,"Musila"
"MWINGI WEST","15068033910901","ITILIKU PRIMARY SCHOOL",340,111,7,217,1,"Musila"
"MWINGI WEST","15068033911001","ITONG'OLANI PRIMARY SCHOOL",232,114,6,110,1,"Malombe"
"MWINGI WEST","15068033911101","MUSONOKE PRIMARY SCHOOL",119,14,2,103,0,"Musila"
"MWINGI WEST","15068033911201","MALATANI PRIMARY SCHOOL",95,21,1,71,0,"Musila"
"MWINGI WEST","15068033911301","NGEMINI PRIMARY SCHOOL",83,14,4,64,0,"Musila"
"MWINGI WEST","15068033911401","KIANZIANI PRIMARY SCHOOL",116,32,1,83,0,"Musila"
"MWINGI WEST","15068033911501","NEGYANI PRIMARY SCHOOL",89,8,0,81,0,"Musila"
"MWINGI WEST","15068033911601","MBONDONI PRIMARY SCHOOL",265,71,5,188,1,"Musila"
"MWINGI WEST","15068033911602","MBONDONI PRIMARY SCHOOL",256,69,7,174,2,"Musila"
"MWINGI WEST","15068033911603","MBONDONI PRIMARY SCHOOL",276,64,5,198,1,"Musila"
"MWINGI WEST","15068033911701","UVAITA PRIMARY SCHOOL",219,92,7,117,2,"Musila"
"MWINGI WEST","15068033911801","KIOMO PRIMARY SCHOOL",345,74,9,259,0,"Musila"
"MWINGI WEST","15068033911802","KIOMO PRIMARY SCHOOL",347,61,13,268,2,"Musila"
"MWINGI WEST","15068033911901","MULILUNI PRIMARY SCHOOL",208,46,3,154,3,"Musila"
"MWINGI WEST","15068033912001","MUKUTHU PRIMARY SCHOOL",186,90,3,91,1,"Musila"
"MWINGI WEST","15068033912101","KWA MUNYANZU PRIMARY SCHOOL",204,34,4,165,0,"Musila"
"MWINGI WEST","15068033912201","NZILANI PRIMARY SCHOOL",122,52,3,66,0,"Musila"
"MWINGI WEST","15068033912301","KYETHANI PRIMARY SCHOOL",255,113,3,129,0,"Musila"
"MWINGI WEST","15068033912302","KYETHANI PRIMARY SCHOOL",254,92,6,154,1,"Musila"
"MWINGI WEST","15068033912401","ITENDEU PRIMARY SCHOOL",272,58,3,209,1,"Musila"
"MWINGI WEST","15068033912501","KOLIANI PRIMARY SCHOOL",121,29,3,88,0,"Musila"
"MWINGI WEST","15068033912601","WIKITHUKI PRIMARY SCHOOL",303,49,4,246,2,"Musila"
"MWINGI WEST","15068033912701","NZAAIKU PRIMARY SCHOOL",187,54,0,131,0,"Musila"
"MWINGI WEST","15068033912801","WIMBONDO PRIMARY SCHOOL",206,49,3,151,1,"Musila"
"MWINGI WEST","15068033912901","KAMANDIKO PRIMARY SCHOOL",84,34,3,47,0,"Musila"
"MWINGI WEST","15068033913001","KARURA PRIMARY SCHOOL",194,100,4,89,1,"Malombe"
"MWINGI WEST","15068033913101","MULATA UTUNDA PRIMARY SCHOOL",200,69,3,126,0,"Musila"
"MWINGI WEST","15068033913201","MAKUTANO PRIMARY SCHOOL",115,78,2,34,0,"Malombe"
"MWINGI WEST","15068033913301","KAVUVWANI PRIMARY SCHOOL",289,40,6,238,3,"Musila"
"MWINGI WEST","15068033913401","TYAA PRIMARY SCHOOL",118,16,14,88,0,"Musila"
"MWINGI WEST","15068033913501","MISAI PRIMARY SCHOOL",124,5,1,118,0,"Musila"
"MWINGI WEST","15068033913601","KAVUONI PRIMARY SCHOOL",302,49,3,250,0,"Musila"
"MWINGI WEST","15068033913701","TULIMANI PRIMARY SCHOOL",114,29,5,75,0,"Musila"
"MWINGI WEST","15068033913801","KATANGA PRIMARY SCHOOL",87,22,1,60,1,"Musila"
"MWINGI WEST","15068033914301","MAVOLONI PRIMARY SCHOOL",74,6,2,66,0,"Musila"
"MWINGI WEST","15068033914401","KWA MUSYA PRIMARY SCHOOL",48,25,0,23,0,"Malombe"
"MWINGI CENTRAL","15069034000101","KAELA SECONDARY SCHOOL",337,109,1,226,0,"Musila"
"MWINGI CENTRAL","15069034000201","KALISASI PRIMARY SCHOOL",266,124,3,134,0,"Musila"
"MWINGI CENTRAL","15069034000202","KALISASI PRIMARY SCHOOL",296,145,4,128,0,"Malombe"
"MWINGI CENTRAL","15069034000301","KAMUNYU PRI. SCH.",426,234,6,134,2,"Malombe"
"MWINGI CENTRAL","15069034000401","KASINA PRIMARY  SCHOOL",298,117,12,166,2,"Musila"
"MWINGI CENTRAL","15069034000402","KASINA PRIMARY  SCHOOL",256,100,11,138,0,"Musila"
"MWINGI CENTRAL","15069034000403","KASINA PRIMARY  SCHOOL",259,82,9,165,1,"Musila"
"MWINGI CENTRAL","15069034000501","KATUMBA PRIMARY  SCHOOL",98,27,0,70,0,"Musila"
"MWINGI CENTRAL","15069034000601","KAUSWINI PRIMARY SCHOOL",222,54,1,166,1,"Musila"
"MWINGI CENTRAL","15069034000701","KITINGA PRIMARY SCHOOL",249,112,3,100,0,"Malombe"
"MWINGI CENTRAL","15069034000801","MBORU PRIMARY  SCHOOL",237,97,7,127,1,"Musila"
"MWINGI CENTRAL","15069034000802","MBORU PRIMARY  SCHOOL",226,98,1,125,1,"Musila"
"MWINGI CENTRAL","15069034000901","MULANG'A PRI. SCHOOL",200,68,1,127,0,"Musila"
"MWINGI CENTRAL","15069034001001","MUSILA GARDENS",321,153,9,156,1,"Musila"
"MWINGI CENTRAL","15069034001002","MUSILA GARDENS",314,146,9,156,1,"Musila"
"MWINGI CENTRAL","15069034001003","MUSILA GARDENS",325,135,11,177,0,"Musila"
"MWINGI CENTRAL","15069034001004","MUSILA GARDENS",312,140,14,153,5,"Musila"
"MWINGI CENTRAL","15069034001005","MUSILA GARDENS",284,120,6,157,0,"Musila"
"MWINGI CENTRAL","15069034001006","MUSILA GARDENS",331,141,6,177,3,"Musila"
"MWINGI CENTRAL","15069034001007","MUSILA GARDENS",333,148,5,174,3,"Musila"
"MWINGI CENTRAL","15069034001008","MUSILA GARDENS",328,153,7,165,1,"Musila"
"MWINGI CENTRAL","15069034001009","MUSILA GARDENS",312,149,15,144,2,"Malombe"
"MWINGI CENTRAL","15069034001101","MUSUKINI PRIMARY SCHOOL",227,93,2,131,1,"Musila"
"MWINGI CENTRAL","15069034001102","MUSUKINI PRIMARY SCHOOL",226,90,0,133,1,"Musila"
"MWINGI CENTRAL","15069034001201","MWINGI YOUTH POLYTECHNIC.",342,152,4,179,4,"Musila"
"MWINGI CENTRAL","15069034001301","SYONGII SECONDARY SCHOOL",255,102,5,144,1,"Musila"
"MWINGI CENTRAL","15069034001401","YANYONGE NURSERY SCHOOL",82,27,2,53,0,"Musila"
"MWINGI CENTRAL","15069034017001","MWINGI SLAUGHTER HOUSE",220,99,8,107,1,"Musila"
"MWINGI CENTRAL","15069034017101","ISEE PRIMARY SCHOOL",100,39,3,55,1,"Musila"
"MWINGI CENTRAL","15069034017201","MALEMBWANI ECDE CENTER",72,39,0,24,0,"Malombe"
"MWINGI CENTRAL","15069034017301","MWANYANI PRIMARY SCHOOL",132,34,1,96,1,"Musila"
"MWINGI CENTRAL","15069034017401","KISEVENI PRIMARY SCHOOL",98,61,2,34,1,"Malombe"
"MWINGI CENTRAL","15069034101501","ISEKELE PRE-SCHOOL",176,98,11,61,1,"Malombe"
"MWINGI CENTRAL","15069034101601","ITHUMBI PRIMARY SCHOOL",335,273,3,56,0,"Malombe"
"MWINGI CENTRAL","15069034101701","KALANGE PRIMARY SCHOOL.",165,120,1,43,0,"Malombe"
"MWINGI CENTRAL","15069034101801","KANYUNGA DISPENSARY",182,90,3,88,0,"Malombe"
"MWINGI CENTRAL","15069034101901","KANZANZU PRIMARY SCHOOL",186,113,4,68,1,"Malombe"
"MWINGI CENTRAL","15069034102001","KANZUI PRIMARY SCHOOL",345,241,7,94,1,"Malombe"
"MWINGI CENTRAL","15069034102101","KARUNG'A PRIMARY SCHOOL",281,143,8,127,1,"Malombe"
"MWINGI CENTRAL","15069034102201","KASARANI MARKET",290,223,5,61,0,"Malombe"
"MWINGI CENTRAL","15069034102301","KASEVI PRIMARY SCHOOL",303,211,4,0,84,"Malombe"
"MWINGI CENTRAL","15069034102401","KASOVONI PRIMARY SCHOOL",174,135,3,35,1,"Malombe"
"MWINGI CENTRAL","15069034102501","KATUVA PRIMARY SCHOOL",139,83,3,53,0,"Malombe"
"MWINGI CENTRAL","15069034102601","KISAMA PRIMARY SCHOOL",216,154,6,54,0,"Malombe"
"MWINGI CENTRAL","15069034102701","KIVOU PRIMARY SCHOOL",151,59,3,88,1,"Musila"
"MWINGI CENTRAL","15069034102801","KIVOU SECONDARY(NDALANI NURSERY)",209,106,7,91,0,"Malombe"
"MWINGI CENTRAL","15069034102901","KWA NZILI PRIMARY SCHOOL",198,90,15,81,2,"Malombe"
"MWINGI CENTRAL","15069034103001","KYANIKA PRIMARY SCHOOL",312,177,4,128,2,"Malombe"
"MWINGI CENTRAL","15069034103101","KYANUNDU ISCKONI PRIMARY",213,133,10,67,1,"Malombe"
"MWINGI CENTRAL","15069034103201","MWINGI DICECE",102,46,3,52,0,"Musila"
"MWINGI CENTRAL","15069034103301","MWINGI PRIMARY SCHOOL",298,168,12,114,2,"Malombe"
"MWINGI CENTRAL","15069034103302","MWINGI PRIMARY SCHOOL",303,153,10,137,0,"Malombe"
"MWINGI CENTRAL","15069034103401","MWINGI SECONDARY SCHOOL",184,104,4,72,1,"Malombe"
"MWINGI CENTRAL","15069034103402","MWINGI SECONDARY SCHOOL",206,107,4,88,0,"Malombe"
"MWINGI CENTRAL","15069034103501","MWINGI WHOLE SALE MARKET",284,129,13,137,2,"Musila"
"MWINGI CENTRAL","15069034103601","NDIUNI PRIMARY SCHOOL",106,64,7,28,0,"Malombe"
"MWINGI CENTRAL","15069034103701","NZULI PRIMARY SCHOOL",124,53,1,52,0,"Malombe"
"MWINGI CENTRAL","15069034103801","SYOMIKUKU PRIMARY SCHOOL",407,253,11,137,3,"Malombe"
"MWINGI CENTRAL","15069034103901","THITHA PRIMARY SCHOOL",247,183,3,60,1,"Malombe"
"MWINGI CENTRAL","15069034103902","THITHA PRIMARY SCHOOL",243,177,3,57,0,"Malombe"
"MWINGI CENTRAL","15069034104001","WAASYA PRIMARY SCHOOL",350,283,7,57,0,"Malombe"
"MWINGI CENTRAL","15069034104101","YAMBYU SECONDARY SCHOOL",191,152,2,36,1,"Malombe"
"MWINGI CENTRAL","15069034117501","KAVINGASI PRIMARY SCHOOL",112,102,0,8,2,"Malombe"
"MWINGI CENTRAL","15069034117601","KANZOKA PRIMARY SCHOOL",118,105,1,10,1,"Malombe"
"MWINGI CENTRAL","15069034117701","KWA KAKA SHOPPING CENTRE",59,31,0,20,0,"Malombe"
"MWINGI CENTRAL","15069034117801","KALILII ECDE CENTER",93,68,0,23,2,"Malombe"
"MWINGI CENTRAL","15069034117901","KATHANAWANI PRIMARY SCHOOL",77,20,11,45,0,"Musila"
"MWINGI CENTRAL","15069034204201","IVUUSYA PRIMARY SCHOOL",383,141,4,227,3,"Musila"
"MWINGI CENTRAL","15069034204301","KALANGA PRIMARY SCHOOL",314,52,2,256,2,"Musila"
"MWINGI CENTRAL","15069034204401","KALULU PRIMARY SCHOOL",133,103,3,24,2,"Malombe"
"MWINGI CENTRAL","15069034204501","KAMULALANI PRIMARY SCHOOL",116,36,3,66,0,"Musila"
"MWINGI CENTRAL","15069034204601","KAVISU PRIMARY SCHOOL",182,168,3,60,1,"Malombe"
"MWINGI CENTRAL","15069034204701","KIISU PRIMARY SCHOOL",137,91,6,39,0,"Malombe"
"MWINGI CENTRAL","15069034204801","KIWANZA PRIMARY SCHOOL",182,48,1,129,1,"Musila"
"MWINGI CENTRAL","15069034204901","KWA NGANGA PRIMARY SCHOOL",142,102,2,36,1,"Malombe"
"MWINGI CENTRAL","15069034205001","KYALAMOKO  PRIMARY SCHOOL",121,46,2,73,0,"Musila"
"MWINGI CENTRAL","15069034205101","KYANGU PRIMARY SCHOOL",253,144,8,99,0,"Malombe"
"MWINGI CENTRAL","15069034205201","LEVUNI PRIMARY SCHOOL",87,35,2,33,0,"Malombe"
"MWINGI CENTRAL","15069034205301","MAAI PRIMARY SCHOOL",296,215,0,53,1,"Malombe"
"MWINGI CENTRAL","15069034205401","MANDOVE PRIMARY SCHOOL",98,15,1,81,0,"Musila"
"MWINGI CENTRAL","15069034205501","MASAVI PRIMARY SCHOOL",266,228,3,30,3,"Malombe"
"MWINGI CENTRAL","15069034205502","MASAVI PRIMARY SCHOOL",257,230,1,23,2,"Malombe"
"MWINGI CENTRAL","15069034205601","MBOTI PRIMARY SCHOOL",146,24,1,115,2,"Musila"
"MWINGI CENTRAL","15069034205701","MULINDE PRIMARY SCHOOL",286,86,4,193,1,"Musila"
"MWINGI CENTRAL","15069034205801","MUSOVO PRIMARY SCHOOL",327,100,4,210,3,"Musila"
"MWINGI CENTRAL","15069034205901","MUTHUKA PRIMARY SCHOOL",405,159,8,235,1,"Musila"
"MWINGI CENTRAL","15069034206101","MWANIA PRIMARY SCHOOL",199,96,7,89,0,"Malombe"
"MWINGI CENTRAL","15069034206201","MWANZELE TRADING CENTER",23,7,0,16,0,"Musila"
"MWINGI CENTRAL","15069034206301","MWASUMA PRIMARY SCHOOL",197,144,6,39,5,"Malombe"
"MWINGI CENTRAL","15069034206401","MYUUNI PRIMARY SCHOOL",311,147,1,150,1,"Musila"
"MWINGI CENTRAL","15069034206501","NDIAMUMO PRIMARY SCHOOL",206,182,1,21,2,"Malombe"
"MWINGI CENTRAL","15069034206601","NGOONI PRIMARY SCHOOL",113,49,1,51,0,"Musila"
"MWINGI CENTRAL","15069034206701","NGUNI HEALTH CENTER",305,176,11,79,1,"Malombe"
"MWINGI CENTRAL","15069034206801","NGUNI PRIMARY SCHOOL",204,118,8,61,0,"Malombe"
"MWINGI CENTRAL","15069034206802","NGUNI PRIMARY SCHOOL",186,112,6,63,1,"Malombe"
"MWINGI CENTRAL","15069034206901","NZENGENI PRIMARY SCHOOL",184,80,2,100,2,"Musila"
"MWINGI CENTRAL","15069034207001","NZIKANI PRIMARY SCHOOL",79,14,0,64,1,"Musila"
"MWINGI CENTRAL","15069034207101","NZOUNI PRIMARY SCHOOL",254,72,4,154,0,"Musila"
"MWINGI CENTRAL","15069034207102","NZOUNI PRIMARY SCHOOL",258,70,0,168,1,"Musila"
"MWINGI CENTRAL","15069034207201","SOSOMA PRIMARY SCHOOL",110,59,1,46,1,"Malombe"
"MWINGI CENTRAL","15069034207301","SYUMIKU  PRIMARY SCHOOL",164,64,2,93,3,"Musila"
"MWINGI CENTRAL","15069034207401","SYUNOO PRIMARY SCHOOL",112,74,1,29,1,"Malombe"
"MWINGI CENTRAL","15069034207501","UKASI PRIMARY SCHOOL",283,71,2,199,4,"Musila"
"MWINGI CENTRAL","15069034207502","UKASI PRIMARY SCHOOL",329,82,5,236,1,"Musila"
"MWINGI CENTRAL","15069034218001","KATUNE PRIMARY SCHOOL",55,25,0,23,0,"Malombe"
"MWINGI CENTRAL","15069034218101","KWA NZILI DEB PRIMARY SCHOOL",43,23,1,18,0,"Malombe"
"MWINGI CENTRAL","15069034218201","ITUNGALI PRIMARY SCHOOL",43,21,4,12,2,"Malombe"
"MWINGI CENTRAL","15069034218301","KAMUMBU PRIMARY SCHOOL",109,80,2,25,1,"Malombe"
"MWINGI CENTRAL","15069034218401","KATHUNGU SHOPPING CENTRE",23,7,0,14,0,"Musila"
"MWINGI CENTRAL","15069034307601","IMWAA PRIMARY SCHOOL.",106,61,1,44,0,"Malombe"
"MWINGI CENTRAL","15069034307701","IMWAMBA PRIMARY  SCHOOL.",157,58,4,94,1,"Musila"
"MWINGI CENTRAL","15069034307801","IVIANI PRIMARY  SCHOOL.",226,95,3,126,0,"Musila"
"MWINGI CENTRAL","15069034307901","KAAI PRIMARY SCHOOL.",264,115,3,144,0,"Musila"
"MWINGI CENTRAL","15069034307902","KAAI PRIMARY SCHOOL.",268,103,7,135,0,"Musila"
"MWINGI CENTRAL","15069034308001","KALALANI PRIMARY SCHOOL.",38,10,2,25,1,"Musila"
"MWINGI CENTRAL","15069034308101","KALESI PRIMARY  SCHOOL.",239,114,1,100,0,"Malombe"
"MWINGI CENTRAL","15069034308201","KAOMBE PRIMARY  SCHOOL.",192,79,2,94,0,"Musila"
"MWINGI CENTRAL","15069034308301","KATHANZE PRIMARY  SCHOOL.",420,243,11,162,4,"Malombe"
"MWINGI CENTRAL","15069034308401","KAVINDU PRIMARY  SCHOOL.",246,137,1,108,0,"Malombe"
"MWINGI CENTRAL","15069034308501","KAVUTI PRIMARY  SCHOOL.",174,125,4,44,0,"Malombe"
"MWINGI CENTRAL","15069034308601","KAWELU PRIMARY SCHOOL",244,59,5,179,1,"Musila"
"MWINGI CENTRAL","15069034308701","KILIKU PRIMARY SCHOOL.",96,37,2,55,1,"Musila"
"MWINGI CENTRAL","15069034308801","KITHITUNI PRIMARY  SCHOOL.",164,47,4,113,0,"Musila"
"MWINGI CENTRAL","15069034308901","KIVUNDUI PRIMARY  SCHOOL",146,54,1,89,2,"Musila"
"MWINGI CENTRAL","15069034309001","KYANDII PRIMARY  SCHOOL.",63,15,0,47,0,"Musila"
"MWINGI CENTRAL","15069034309101","KYATUNE PRIMARY  SCHOOL.",77,18,0,59,0,"Musila"
"MWINGI CENTRAL","15069034309201","KYUMBE PRIMARY SCHOOL",319,203,14,98,2,"Malombe"
"MWINGI CENTRAL","15069034309301","MATULANI PRIMARY  SCHOOL.",119,39,5,75,0,"Musila"
"MWINGI CENTRAL","15069034309401","MBIA PRIMARY  SCHOOL",111,35,1,75,0,"Musila"
"MWINGI CENTRAL","15069034309501","MITAAVO PRIMARY SCHOOL.",91,42,2,45,1,"Musila"
"MWINGI CENTRAL","15069034309601","MUANGENI PRIMARY  SCHOOL.",410,112,5,288,1,"Musila"
"MWINGI CENTRAL","15069034309701","MUTULU PRIMARY  SCHOOL.",149,84,3,62,0,"Malombe"
"MWINGI CENTRAL","15069034309801","MUTUNGA PRIMARY  SCHOOL.",66,19,1,43,0,"Musila"
"MWINGI CENTRAL","15069034309901","MUTYANGOME PRIMARY  SCHOOL.",459,138,8,307,1,"Musila"
"MWINGI CENTRAL","15069034310001","MWALILI PRIMARY SCHOOL.",90,62,0,28,0,"Malombe"
